Version,ZTF_Name,z_sntemplate,z_rlap,z_snid,z_snid_err,z_level,rank_1,sntemplate_1,rlap_1,c_snid_1,z_snid_1,z_snid_err_1,age_1,age_flag_1,rank_2,sntemplate_2,rlap_2,c_snid_2,z_snid_2,z_snid_err_2,age_2,age_flag_2,rank_3,sntemplate_3,rlap_3,c_snid_3,z_snid_3,z_snid_err_3,age_3,age_flag_3,rank_4,sntemplate_4,rlap_4,c_snid_4,z_snid_4,z_snid_err_4,age_4,age_flag_4,rank_5,sntemplate_5,rlap_5,c_snid_5,z_snid_5,z_snid_err_5,age_5,age_flag_5
AT2018hrg_20181103_P60_v1.ascii,AT2018hrg,sn2006bp,5.84,0.0068,0.0091,1,1,sn2006bp,5.84,II-norm,0.0068,0.0091,4.2,0,3,sn1987A,5.76,II-norm,0.0085,0.0094,-78.5,0,6,sn06bp,5.71,II-norm,0.0064,0.0092,7.2,0,18,sn1996cb,5.34,IIb,0.0158,0.0101,-18.0,0,35,lbv01ac,5.06,LBV,-0.0005,0.0045,-99.9,2
SN2017iuk_20181204_Keck1_v1.ascii,SN2017iuk,kcSB5,5.66,0.0378,0.0028,1,1,kcSB5,5.66,Gal,0.0378,0.0028,-99.9,2,2,kcSB1,5.43,Gal,0.037,0.0028,-99.9,2,3,kcSB2,5.11,Gal,0.0369,0.003,-99.9,2,7,sn98bw,4.35,Ic-BL,0.0094,0.0179,15.7,0,11,sn2005la,3.83,Ibn,0.0197,0.0033,14.0,0
ZTF17aaajnki_20180320_P60_v1.ascii,ZTF17aaajnki,kcSB2,17.99,-0.0,0.0015,1,1,kcSB2,17.99,Gal,-0.0,0.0015,-99.9,2,2,kcSB1,17.3,Gal,0.0001,0.0016,-99.9,2,3,PS1-10bzj,10.61,Ic-SLSN,0.0003,0.0026,6.55,0,5,kcSB4,5.8,Gal,-0.0002,0.0041,-99.9,2,8,sn07it,5.28,II-norm,0.0007,0.0051,191.0,0
ZTF17aaajnki_20180320_P60_v2.ascii,ZTF17aaajnki,kcSB2,18.27,-0.0004,0.0015,1,1,kcSB2,18.27,Gal,-0.0004,0.0015,-99.9,2,2,kcSB1,17.68,Gal,-0.0003,0.0015,-99.9,2,3,PS1-10bzj,11.43,Ic-SLSN,-0.0001,0.0024,6.55,0,5,kcSB4,5.82,Gal,-0.0006,0.004,-99.9,2,8,sn07it,5.14,II-norm,0.0003,0.0051,191.0,0
ZTF17aaaobyl_20180826_P60_v2.ascii,ZTF17aaaobyl,agn,7.95,0.0017,0.003,1,1,agn,7.95,AGN,0.0017,0.003,-99.9,2,2,kcSB5,7.77,Gal,0.0021,0.0025,-99.9,2,3,kcSB4,7.62,Gal,0.0017,0.0025,-99.9,2,4,kcSc,7.52,Gal,0.0022,0.0025,-99.9,2,5,sn98S,7.15,IIn,0.004,0.0057,422.5,0
ZTF17aaapufz_20190304_P200_v1.ascii,ZTF17aaapufz,kcSc,28.52,0.0025,0.0006,1,1,kcSc,28.52,Gal,0.0025,0.0006,-99.9,2,2,kcSB4,26.83,Gal,0.0022,0.0007,-99.9,2,3,kcSB5,22.66,Gal,0.0025,0.0008,-99.9,2,8,agn,14.22,AGN,0.0023,0.0014,-99.9,2,9,qso,12.11,QSO,0.0025,0.0016,-100.0,2
ZTF17aaaukqn_20180904_P60_v1.ascii,ZTF17aaaukqn,sn97ef,6.95,0.3262,0.0146,0,1,sn97ef,6.95,Ic-BL,0.3262,0.0146,-14.0,0,7,sn2003W,4.54,Ia-norm,0.4743,0.0108,28.0,0,10,sn2005cf,4.3,Ia-norm,0.4432,0.0134,-6.6,0,16,sn1999gp,4.12,Ia-91T,0.4702,0.0123,35.1,0,17,sn03du,4.11,Ia-norm,0.4409,0.0122,-5.0,0
ZTF17aaawgkc_20180822_P60_v1.ascii,ZTF17aaawgkc,sn1995F,5.91,0.2735,0.0108,0,1,sn1995F,5.91,Ic-norm,0.2735,0.0108,88.8,1,3,sn93J,5.88,IIb,0.2642,0.0078,102.0,0,7,sn2008aq,5.64,IIb,0.2654,0.0075,101.0,1,12,sn2005az,5.42,Ic-norm,0.27,0.0098,87.3,0,16,sn2008D,5.24,Ib-norm,0.2808,0.0133,63.9,0
ZTF17aaayjzy_20191214_P60_v1.ascii,ZTF17aaayjzy,kcSB4,20.67,0.0479,0.0012,1,1,kcSB4,20.67,Gal,0.0479,0.0012,-99.9,2,2,kcSB5,19.9,Gal,0.0482,0.0012,-99.9,2,3,kcSc,18.67,Gal,0.0482,0.0013,-99.9,2,6,agn,13.59,AGN,0.0479,0.0021,-99.9,2,9,qso,10.66,QSO,0.048,0.0024,-100.0,2
ZTF17aaazdba_20190224_P60_v1.ascii,ZTF17aaazdba,sn2005hk,6.13,0.0401,0.0109,1,1,sn2005hk,6.13,Ia-02cx,0.0401,0.0109,23.2,0,5,sn2007al,5.79,Ia-91bg,0.0543,0.0119,11.3,0,6,sn2008A,5.47,Ia-02cx,0.0463,0.0115,23.6,0,7,sn02ap,5.47,Ic-BL,0.2794,0.0169,25.5,0,8,sn02cx,5.44,Ia-02cx,0.0419,0.0116,24.1,0
